Column,Importance
obj__Location_Location 8,0.12470932293438752
num__S2,0.07398211065347941
num__Humidity,0.07291924456633228
num__Air_Temp,0.07224323823481206
num__Track_Temp,0.06549820588213211
num__S3,0.057520214616055027
num__Rain,0.05560996722930226
num__Pressure,0.05122064723850087
num__S1,0.05114435733691592
num__Wind_Direction,0.04369968915828603
num__Kph,0.04285050054893764
num__Elapsed,0.03967820269661139
num__Pit_Time,0.032443541733342886
num__Wind_Speed,0.027813521556383808
obj__Location_Location 1,0.009349445424961696
obj__Location_Location 7,0.0074799639891435935
obj__Event_Free Practice 2,0.0056711334192962055
obj__Location_Location 6,0.0055277924575814165
obj__Event_Free Practice 3,0.004209250704042938
obj__Event_Free Practice 1,0.00420542939337278
obj__Team_NIOO,0.003410969670093176
obj__Driver_Name_TB,0.0031874003264682153
obj__Team_AR,0.0031192365660820424
obj__Driver_Name_RR,0.002860767319596278
obj__Lap_Number_8,0.002853883046347815
num__Power,0.002852338560656751
obj__Lap_Number_2,0.002747327985307564
obj__Lap_Number_22,0.0026971846485709335
obj__Team_EA,0.002648479910229798
obj__Lap_Number_17,0.0025937680033144145
obj__Driver_Name_N,0.002541139441052479
obj__Lap_Number_3,0.0024495359003367696
obj__Team_TAG ,0.002392034047568887
obj__Lap_Number_13,0.002359150947648456
num__S3_Improvement,0.0023529937227181755
obj__Driver_Name_AL,0.0023463022531604477
obj__Driver_Name_SBU,0.0023327252298444784
obj__Team_Nt,0.0022548888080682157
obj__Lap_Number_10,0.002224504095772511
obj__Driver_Name_PWEHRL,0.0022071674526392884
num__S1_Improvement,0.0021843208910215274
obj__Team_JR,0.002178169234428688
obj__Lap_Number_9,0.00217439895421325
obj__Lap_Number_5,0.002152809407129005
obj__Driver_Name_SB,0.002114686319040768
num__S2_Improvement,0.0021004332829142186
obj__Team_N ,0.0020901773949301003
obj__Lap_Number_14,0.0020525970068339854
obj__Location_Location 3,0.002038751107549973
obj__Driver_Name_OROWL,0.0020385813517994943
obj__Lap_Number_6,0.002013498811008564
obj__Location_Location 5,0.0019902978352720232
obj__Driver_Name_NVR,0.0019681647853916997
obj__Lap_Number_11,0.0019613744518894643
obj__Team_MAHINDRAd,0.001958826835679557
obj__Team_ME,0.0019154535574610909
obj__Driver_Name_JVER,0.001873819739267409
obj__Lap_Improvement_2,0.0018186294984608125
obj__Location_Location 4,0.0017974527853658673
obj__Lap_Number_1,0.0017824376862316052
obj__Team_DS,0.001727754400493962
obj__Driver_Name_MNT,0.0017046242906534868
obj__Lap_Number_4,0.0016991736095353224
obj__Lap_Number_18,0.0016891967044848951
obj__Driver_Name_J,0.0016817289411689173
obj__Team_AD,0.0016740847262497166
obj__Lap_Number_19,0.0016349351914966763
obj__Lap_Improvement_0,0.0016172076264325754
obj__Driver_Name_SM,0.0015772723206516743
obj__Driver_Name_ALOTTE,0.0015682017013814785
obj__Team_BMWl,0.0015638598846309548
obj__Lap_Number_7,0.0015568795534590233
obj__Driver_Name_LGRA,0.0014958922142023286
obj__Lap_Number_15,0.0014356702671204328
obj__Driver_Name_EMORT,0.001419400427289613
obj__Team_ROKo,0.0014137330469510508
obj__Driver_Name_MEV,0.0013919306742280957
obj__Team_DRAGONo,0.0013835998749791144
obj__Event_Qualifying Group 2,0.001368970933469348
obj__Lap_Number_12,0.0013564798589028385
obj__Driver_Name_SVANDOO,0.0013411048584164827
obj__Team_Ml,0.001313902853079945
obj__Team_JE,0.0012962350460947343
obj__Team_DRAGONR,0.0012742912304399853
obj__Team_BMWE,0.0012668096027129846
obj__Team_DSo,0.001229912480146233
obj__Team_NIO ,0.0012278168378321492
obj__Driver_Name_OTUR,0.0012212401026832451
obj__Driver_Name_NL,0.001213937303026858
obj__Location_Location 2,0.001208909010400903
obj__Lap_Number_16,0.0011860210471385055
obj__Driver_Name_RFRI,0.0011527590268765409
obj__Driver_Name_NN,0.0011465885611689063
obj__Driver_Name_ACO,0.0011241137728643805
obj__Team_DRAGONÃ,0.0011069839540017827
obj__Event_Qualifying Group 1,0.0011065880707594128
obj__Team_ROK ,0.001095293349494041
obj__Team_EF,0.0010472984636187756
obj__Event_Qualifying Group 4,0.0010377644898904997
obj__Lap_Number_23,0.0009744239327462326
obj__Driver_Name_AS,0.0009533653387451979
obj__Lap_Number_20,0.0008096896928975935
obj__Lap_Number_24,0.0008047049919402446
obj__Event_Qualifying Group 3,0.0008009425691702241
obj__Lap_Number_21,0.0007300325829098184
obj__Lap_Improvement_4,0.0003564718745880238
obj__Lap_Number_26,0.00027064745498521823
obj__Lap_Number_25,0.00024397086484603456
obj__Lap_Improvement_3,4.874134192804733e-05
obj__Lap_Number_27,3.446937735995789e-05
obj__Lap_Number_29,1.0595979356654613e-06
obj__Lap_Number_28,8.554262762723046e-07
obj__Lap_Number_30,0.0
obj__Lap_Number_31,0.0
