Lap_Number,Lap_Time,Lap_Improvement,S1,S1_Improvement,S2,S2_Improvement,S3,S3_Improvement,Kph,Elapsed,Driver_Name,Pit_Time,Team,Power,Location,Event,Air_Temp,Track_Temp,Humidity,Pressure,Wind_Speed,Wind_Direction,Rain
1,92,0,343.3,0,35.427,0,43.313,0,28.8,422,SB,104.9,JR,250,Location 2,Free Practice 2,15.0556,18.6,60,1018.25,3.1828,175,-1
2,87,2,25.674,2,33.399,2,41.922,2,120.5,523,SB,104.9,JR,250,Location 2,Free Practice 2,15.0556,18.7,60,1018.25,4.24374,161,-1
3,73,0,28.129,0,34.091,0,57.248,0,101.9,642.5,SB,104.9,JR,250,Location 2,Free Practice 2,15.0556,18.7,60,1018.22,3.1828,148,-1
1,73,0,65,0,38.416,0,56.833,0,75.9,160.2,LGRA,8.25,AD,250,Location 2,Free Practice 2,15.0556,18.5,60,1018.12,2.12187,157,-1
2,73,0,28.013,0,36.743,0,44.716,0,111.2,269.7,LGRA,8.25,AD,250,Location 2,Free Practice 2,15.1111,18.5,60,1018.15,3.1828,149,-1
3,101,2,25.851,2,33.374,2,42.466,2,119.7,371.4,LGRA,8.25,AD,250,Location 2,Free Practice 2,15.1111,18.6,60,1018.25,6.3656,173,-1
4,105,0,27.918,0,34.646,0,48.038,0,110,482,LGRA,8.25,AD,250,Location 2,Free Practice 2,15.0556,18.7,60,1018.25,4.24374,161,-1
1,84,0,46.912,0,42.191,0,49.395,0,87.9,138.5,ACO,2.54,DSo,250,Location 2,Free Practice 2,15.0556,18.5,60,1018.12,2.12187,157,-1
2,85,0,25.727,0,33.385,0,42.392,0,119.9,240,ACO,2.54,DSo,250,Location 2,Free Practice 2,15.1111,18.5,60,1018.15,3.1828,149,-1
3,101,0,29.068,0,52.345,0,63.7,0,83.8,385.1,ACO,2.54,DSo,250,Location 2,Free Practice 2,15.1111,18.6,60,1018.25,6.3656,173,-1
4,103,2,25.544,2,33.219,2,42.322,2,120.4,486.2,ACO,2.54,DSo,250,Location 2,Free Practice 2,15.0556,18.7,60,1018.25,4.24374,161,-1
5,78,0,39.51,0,45.266,0,58.077,0,85.2,629.1,ACO,2.54,DSo,250,Location 2,Free Practice 2,15.0556,18.7,60,1018.22,3.1828,148,-1
1,106,0,52.884,0,41.444,0,55.136,0,81.4,149.5,NVR,3.383333333,ME,235,Location 2,Free Practice 2,15.0556,18.5,60,1018.12,2.12187,157,-1
2,118,2,25.313,2,32.681,2,41.715,2,122,249.2,NVR,3.383333333,ME,250,Location 2,Free Practice 2,15.1111,18.5,60,1018.15,3.1828,149,-1
3,92,0,35.204,0,40.576,0,50.211,0,96.6,375.2,NVR,3.383333333,ME,235,Location 2,Free Practice 2,15.1111,18.6,60,1018.25,6.3656,173,-1
4,89,0,26.527,0,34.53,0,43.179,0,116.7,479.4,NVR,3.383333333,ME,250,Location 2,Free Practice 2,15.0556,18.6,60,1018.25,3.1828,175,-1
5,80,0,26.387,0,34.474,0,43.214,0,116.9,583.5,NVR,3.383333333,ME,250,Location 2,Free Practice 2,15.0556,18.7,60,1018.25,4.24374,143,-1
6,82,0,26.494,0,63.1,0,86.7,0,69,759.8,NVR,3.383333333,ME,250,Location 2,Free Practice 2,15.0556,18.8,60,1018.15,4.24374,142,-1
1,88,0,70.2,0,39.722,0,52.226,0,75,162.2,MEV,5.983333333,JE,250,Location 2,Free Practice 2,15.0556,18.5,60,1018.12,2.12187,157,-1
2,105,0,27.844,0,35.704,0,46.69,0,110.4,272.4,MEV,5.983333333,JE,235,Location 2,Free Practice 2,15.1111,18.5,60,1018.15,3.1828,149,-1
3,104,2,25.129,2,32.851,2,42.252,2,121.4,372.6,MEV,5.983333333,JE,235,Location 2,Free Practice 2,15.1111,18.6,60,1018.25,6.3656,173,-1
4,94,0,25.674,0,39.811,0,52.02,0,103.6,490.1,MEV,5.983333333,JE,235,Location 2,Free Practice 2,15.0556,18.7,60,1018.25,4.24374,161,-1
5,76,0,25.65,0,33.659,0,42.323,0,119.7,591.8,MEV,5.983333333,JE,250,Location 2,Free Practice 2,15.0556,18.7,60,1018.25,4.24374,143,-1
6,104,0,28.472,0,83.9,0,87.3,0,60.9,791.4,MEV,5.983333333,JE,250,Location 2,Free Practice 2,15.0556,18.9,60,1018.25,1.06093,140,-1
1,75,0,47.409,0,42.337,0,49.873,0,87.2,139.6,OROWL,2.633333333,N ,250,Location 2,Free Practice 2,15.0556,18.5,60,1018.12,2.12187,157,-1
2,71,0,27.728,0,38.179,0,49.605,0,105.3,255.1,OROWL,2.633333333,N ,235,Location 2,Free Practice 2,15.1111,18.5,60,1018.15,3.1828,149,-1
3,123,2,25.435,2,32.779,2,41.71,2,121.8,355.1,OROWL,2.633333333,N ,250,Location 2,Free Practice 2,15.0556,18.5,60,1018.25,2.12187,130,-1
4,102,0,26.8,0,34.862,0,43.911,0,115.3,460.6,OROWL,2.633333333,N ,235,Location 2,Free Practice 2,15.0556,18.6,60,1018.25,3.1828,175,-1
5,92,0,26.84,0,34.796,0,43.534,0,115.7,565.8,OROWL,2.633333333,N ,250,Location 2,Free Practice 2,15.0556,18.7,60,1018.25,4.24374,143,-1
6,182,0,26.77,0,42.221,0,87.5,0,77.8,722.3,OROWL,2.633333333,N ,250,Location 2,Free Practice 2,15.0556,18.8,60,1018.15,4.24374,142,-1
1,93,0,47.908,0,42.489,0,49.993,0,86.7,140.4,SBU,2.516666666,Nt,250,Location 2,Free Practice 2,15.0556,18.5,60,1018.12,2.12187,157,-1
2,76,0,28.067,0,38.914,0,48.497,0,105.4,255.9,SBU,2.516666666,Nt,250,Location 2,Free Practice 2,15.1111,18.5,60,1018.15,3.1828,149,-1
3,72,2,25.808,2,33.371,2,42.372,2,119.8,357.4,SBU,2.516666666,Nt,250,Location 2,Free Practice 2,15.0556,18.5,60,1018.25,2.12187,130,-1
4,92,0,26.1,0,40.655,0,47.849,0,106.2,472,SBU,2.516666666,Nt,250,Location 2,Free Practice 2,15.0556,18.6,60,1018.25,3.1828,175,-1
5,89,0,25.814,0,33.602,0,42.678,0,119.2,574.1,SBU,2.516666666,Nt,250,Location 2,Free Practice 2,15.0556,18.7,60,1018.25,4.24374,143,-1
6,69,0,28.306,0,47.811,0,86.6,0,74.8,736.8,SBU,2.516666666,Nt,250,Location 2,Free Practice 2,15.0556,18.8,60,1018.15,4.24374,142,-1
1,102,0,124,0,36.698,0,46.196,0,58.8,206.9,MNT,18.32,BMWl,235,Location 2,Free Practice 2,15.0556,18.5,60,1018.08,2.12187,163,-1
2,108,3,25.134,2,32.772,2,41.611,3,122.3,306.4,MNT,18.32,BMWl,250,Location 2,Free Practice 2,15.0556,18.5,60,1018.25,2.12187,130,-1
3,69,0,25.42,0,33.683,0,42.495,0,119.8,408,MNT,18.32,BMWl,235,Location 2,Free Practice 2,15.1111,18.6,60,1018.25,6.3656,173,-1
4,130,0,32.472,0,44.432,0,50.576,0,95.5,535.5,MNT,18.32,BMWl,250,Location 2,Free Practice 2,15.0556,18.7,60,1018.25,4.24374,161,-1
5,99,0,25.844,0,33.574,0,62.3,0,99.9,657.3,MNT,18.32,BMWl,250,Location 2,Free Practice 2,15.0556,18.7,60,1018.22,3.1828,148,-1
1,98,0,88.6,0,37.041,0,45.745,0,71,171.4,AS,9.633333333,MAHINDRAd,250,Location 2,Free Practice 2,15.0556,18.5,60,1018.12,2.12187,157,-1
2,69,0,27.756,0,36.923,0,47.285,0,108.7,283.3,AS,9.633333333,MAHINDRAd,250,Location 2,Free Practice 2,15.1111,18.5,60,1018.15,3.1828,149,-1
3,71,2,26.204,2,33.651,2,43.407,0,117.8,386.6,AS,9.633333333,MAHINDRAd,250,Location 2,Free Practice 2,15.1111,18.6,60,1018.25,6.3656,173,-1
4,93,0,26.983,0,34.723,0,43.658,0,115.5,491.9,AS,9.633333333,MAHINDRAd,250,Location 2,Free Practice 2,15.0556,18.7,60,1018.25,4.24374,161,-1
5,98,0,26.633,0,34.779,0,43.317,2,116.2,596.7,AS,9.633333333,MAHINDRAd,250,Location 2,Free Practice 2,15.0556,18.7,60,1018.25,4.24374,143,-1
6,80,0,36.344,0,82.7,0,86.9,0,59.1,802.6,AS,9.633333333,MAHINDRAd,250,Location 2,Free Practice 2,15.0556,18.9,60,1018.25,1.06093,140,-1
1,77,0,67,0,38.091,0,56.223,0,75.4,161.3,RR,6.9,AR,250,Location 2,Free Practice 2,15.0556,18.5,60,1018.12,2.12187,157,-1
2,69,0,26.736,0,34.319,0,43.846,0,116,266.2,RR,6.9,AR,250,Location 2,Free Practice 2,15.1111,18.5,60,1018.15,3.1828,149,-1
3,85,0,26.681,0,34.394,0,43.297,0,116.6,370.6,RR,6.9,AR,250,Location 2,Free Practice 2,15.1111,18.6,60,1018.25,6.3656,173,-1
4,48,2,25.924,0,33.538,2,42.565,2,119.3,472.6,RR,6.9,AR,250,Location 2,Free Practice 2,15.0556,18.6,60,1018.25,3.1828,175,-1
5,68,0,25.873,2,35.225,0,51.47,0,108.1,585.2,RR,6.9,AR,250,Location 2,Free Practice 2,15.0556,18.7,60,1018.25,4.24374,143,-1
1,145,0,350.5,0,36.644,0,44.646,2,28.2,431.7,ALOTTE,106.4666667,TAG ,250,Location 2,Free Practice 2,15.0556,18.6,60,1018.25,3.1828,175,-1
2,71,2,26.994,0,34.866,0,49.239,0,109.5,542.8,ALOTTE,106.4666667,TAG ,235,Location 2,Free Practice 2,15.0556,18.7,60,1018.25,4.24374,143,-1
3,110,0,25.14,2,32.7,2,64.9,0,99.1,665.6,ALOTTE,106.4666667,TAG ,250,Location 2,Free Practice 2,15.0556,18.8,60,1018.22,2.12187,76,-1
1,71,0,61.5,0,39.813,0,54.778,0,77.9,156.1,N,9.166666666,EA,235,Location 2,Free Practice 2,15.0556,18.5,60,1018.12,2.12187,157,-1
2,93,2,25.202,2,32.676,2,42.164,2,121.6,256.2,N,9.166666666,EA,235,Location 2,Free Practice 2,15.1111,18.5,60,1018.15,3.1828,149,-1
3,97,0,26.422,0,36.258,0,50.415,0,107.6,369.2,N,9.166666666,EA,250,Location 2,Free Practice 2,15.1111,18.6,60,1018.25,6.3656,173,-1
1,105,0,63.3,0,39.207,0,55.895,0,76.8,158.4,RFRI,63.6,EF,250,Location 2,Free Practice 2,15.0556,18.5,60,1018.12,2.12187,157,-1
2,77,2,25.889,0,44.821,0,45.447,2,104.8,274.5,RFRI,63.6,EF,250,Location 2,Free Practice 2,15.1111,18.5,60,1018.15,3.1828,149,-1
3,72,0,25.712,2,33.65,2,46.719,0,114.7,380.6,RFRI,63.6,EF,250,Location 2,Free Practice 2,15.1111,18.6,60,1018.25,6.3656,173,-1
4,89,0,276.4,0,83.2,0,87,0,27.3,827.1,RFRI,63.6,EF,250,Location 2,Free Practice 2,15.0556,18.9,60,1018.25,1.06093,140,-1
