NUMBER, DRIVER_NUMBER, LAP_NUMBER,LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,DRIVER_NAME,PIT_TIME,GROUP,TEAM,POWER,LOCATION,EVENT
10,1,1,92,0,,05:43.3,0,35.427,0,43.313,0,28.8,07:02.0,22:02.0,05:43.3,00:35.4,00:43.3,SB,05:14.7,,JR,,Location 2,Free Practice 2
10,1,2,87,2,,25.674,2,33.399,2,41.922,2,120.5,08:43.0,23:43.0,00:25.7,00:33.4,00:41.9,SB,,,JR,,Location 2,Free Practice 2
10,1,3,73,0,B,28.129,0,34.091,0,57.248,0,101.9,10:42.5,25:42.5,00:28.1,00:34.1,00:57.2,SB,,,JR,,Location 2,Free Practice 2
11,1,1,73,0,,01:05.0,0,38.416,0,56.833,0,75.9,02:40.2,17:40.2,01:05.0,00:38.4,00:56.8,LGRA,00:33.0,,AD,,Location 2,Free Practice 2
11,1,2,73,0,,28.013,0,36.743,0,44.716,0,111.2,04:29.7,19:29.7,00:28.0,00:36.7,00:44.7,LGRA,,,AD,,Location 2,Free Practice 2
11,1,3,101,2,,25.851,2,33.374,2,42.466,2,119.7,06:11.4,21:11.4,00:25.9,00:33.4,00:42.5,LGRA,,,AD,,Location 2,Free Practice 2
11,1,4,105,0,B,27.918,0,34.646,0,48.038,0,110.0,08:02.0,23:02.0,00:27.9,00:34.6,00:48.0,LGRA,,,AD,,Location 2,Free Practice 2
13,1,1,84,0,,46.912,0,42.191,0,49.395,0,87.9,02:18.5,17:18.5,00:46.9,00:42.2,00:49.4,ACO,00:12.7,,DSo,,Location 2,Free Practice 2
13,1,2,85,0,,25.727,0,33.385,0,42.392,0,119.9,04:00.0,19:00.0,00:25.7,00:33.4,00:42.4,ACO,,,DSo,,Location 2,Free Practice 2
13,1,3,101,0,,29.068,0,52.345,0,01:03.7,0,83.8,06:25.1,21:25.1,00:29.1,00:52.3,01:03.7,ACO,,,DSo,,Location 2,Free Practice 2
