TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,LOCATION,EVENT
1618042506,10/04/21 8:15,15,18.4,60,1018.05,2.12187,165,-1,Location 2,Free Practice 2
1618042567,10/04/21 8:16,15.0556,18.4,60,1018.12,1.06093,177,-1,Location 2,Free Practice 2
1618042632,10/04/21 8:17,15.0556,18.5,60,1018.12,2.12187,157,-1,Location 2,Free Practice 2
1618042697,10/04/21 8:18,15.0556,18.5,60,1018.08,2.12187,163,-1,Location 2,Free Practice 2
1618042762,10/04/21 8:19,15.1111,18.5,60,1018.15,3.1828,149,-1,Location 2,Free Practice 2
1618042822,10/04/21 8:20,15.0556,18.5,60,1018.25,2.12187,130,-1,Location 2,Free Practice 2
1618042887,10/04/21 8:21,15.1111,18.6,60,1018.25,6.3656,173,-1,Location 2,Free Practice 2
1618042953,10/04/21 8:22,15.0556,18.6,60,1018.25,3.1828,175,-1,Location 2,Free Practice 2
1618043017,10/04/21 8:23,15.0556,18.7,60,1018.25,4.24374,161,-1,Location 2,Free Practice 2
1618043078,10/04/21 8:24,15.0556,18.7,60,1018.25,4.24374,143,-1,Location 2,Free Practice 2
1618043143,10/04/21 8:25,15.0556,18.7,60,1018.22,3.1828,148,-1,Location 2,Free Practice 2
1618043208,10/04/21 8:26,15.0556,18.8,60,1018.22,2.12187,76,-1,Location 2,Free Practice 2
1618043268,10/04/21 8:27,15.0556,18.8,60,1018.15,4.24374,142,-1,Location 2,Free Practice 2
1618043333,10/04/21 8:28,15.0556,18.9,60,1018.25,1.06093,140,-1,Location 2,Free Practice 2
1618043398,10/04/21 8:29,15.0556,19,60,1018.22,6.3656,160,-1,Location 2,Free Practice 2
1618043463,10/04/21 8:31,15,19,60,1018.29,4.24374,131,-1,Location 2,Free Practice 2
1618043528,10/04/21 8:32,14.9444,19.1,60,1018.25,7.42654,141,-1,Location 2,Free Practice 2
1618043593,10/04/21 8:33,14.8889,19.2,60,1018.29,2.12187,147,-1,Location 2,Free Practice 2
1618043654,10/04/21 8:34,14.8889,19.3,61,1018.35,2.12187,165,-1,Location 2,Free Practice 2
1618043719,10/04/21 8:35,14.8889,19.5,61,1018.35,6.3656,146,-1,Location 2,Free Practice 2
1618043784,10/04/21 8:36,14.8889,19.5,60,1018.29,5.30467,166,-1,Location 2,Free Practice 2
1618043848,10/04/21 8:37,14.8333,19.5,61,1018.39,3.1828,80,-1,Location 2,Free Practice 2
1618043909,10/04/21 8:38,14.8333,19.6,61,1018.29,1.06093,163,-1,Location 2,Free Practice 2
1618043974,10/04/21 8:39,14.8333,19.7,61,1018.29,2.12187,155,-1,Location 2,Free Practice 2
1618044039,10/04/21 8:40,14.8333,19.7,61,1018.29,1.06093,155,-1,Location 2,Free Practice 2
1618044104,10/04/21 8:41,14.8889,19.9,61,1018.29,2.12187,152,-1,Location 2,Free Practice 2
1618044164,10/04/21 8:42,14.9444,20,61,1018.22,4.24374,159,-1,Location 2,Free Practice 2
1618044229,10/04/21 8:43,15,20,61,1018.25,7.42654,102,-1,Location 2,Free Practice 2
1618044295,10/04/21 8:44,15.0556,20.1,61,1018.25,3.1828,148,-1,Location 2,Free Practice 2
1618044360,10/04/21 8:46,15.0556,20.1,61,1018.19,3.1828,151,-1,Location 2,Free Practice 2
1618044425,10/04/21 8:47,15.0556,20.2,61,1018.15,4.24374,155,-1,Location 2,Free Practice 2
1618044490,10/04/21 8:48,15.0556,20.4,61,1018.15,2.12187,171,-1,Location 2,Free Practice 2
1618045251,10/04/21 9:00,15.3333,21,60,1018.15,6.3656,149,-1,Location 2,Free Practice 2
1618045316,10/04/21 9:01,15.3333,20.9,60,1018.08,4.24374,149,-1,Location 2,Free Practice 2
1618045381,10/04/21 9:03,15.2778,20.8,61,1018.19,6.3656,169,-1,Location 2,Free Practice 2
1618045441,10/04/21 9:04,15.2222,20.7,61,1018.08,4.24374,159,-1,Location 2,Free Practice 2
1618045506,10/04/21 9:05,15.1667,20.6,61,1018.05,2.12187,104,-1,Location 2,Free Practice 2
1618048832,10/04/21 10:00,15.1667,20,62,1018.08,2.12187,141,-1,Location 2,Qualifying Group 1
1618048896,10/04/21 10:01,15.1111,19.9,62,1018.19,3.1828,105,-1,Location 2,Qualifying Group 1
1618048957,10/04/21 10:02,15.1111,19.9,63,1018.08,1.06093,181,-1,Location 2,Qualifying Group 1
1618049022,10/04/21 10:03,15.1111,19.9,63,1017.98,4.24374,163,-1,Location 2,Qualifying Group 1
1618034429,10/04/21 6:00,9.77778,11.2,68,1017.58,0,84,-1,Location 2,Free Practice 1
1618034495,10/04/21 6:01,9.83333,11.2,68,1017.64,0,84,-1,Location 2,Free Practice 1
1618034560,10/04/21 6:02,9.83333,11.2,68,1017.61,1.06093,84,-1,Location 2,Free Practice 1
1618034624,10/04/21 6:03,9.94445,11.2,67,1017.64,0,84,-1,Location 2,Free Practice 1
1618034685,10/04/21 6:04,9.94445,11.2,67,1017.61,0,84,-1,Location 2,Free Practice 1
1618034750,10/04/21 6:05,10,11.2,67,1017.64,0,84,-1,Location 2,Free Practice 1
1618034815,10/04/21 6:06,10.0556,11.3,67,1017.64,0,84,-1,Location 2,Free Practice 1
1618034880,10/04/21 6:08,10.1111,11.3,67,1017.61,0,84,-1,Location 2,Free Practice 1
1618034940,10/04/21 6:09,10.1667,11.4,67,1017.64,0,84,-1,Location 2,Free Practice 1
1618035005,10/04/21 6:10,10.2222,11.4,67,1017.61,0,84,-1,Location 2,Free Practice 1
1618035070,10/04/21 6:11,10.2778,11.5,67,1017.64,0,84,-1,Location 2,Free Practice 1
1618035135,10/04/21 6:12,10.3333,11.5,66,1017.68,0,84,-1,Location 2,Free Practice 1
1618035196,10/04/21 6:13,10.3889,11.6,66,1017.61,2.12187,83,-1,Location 2,Free Practice 1
1618035261,10/04/21 6:14,10.4444,11.6,66,1017.61,1.06093,83,-1,Location 2,Free Practice 1
1618035326,10/04/21 6:15,10.5,11.8,65,1017.68,2.12187,83,-1,Location 2,Free Practice 1
1618035401,10/04/21 6:16,10.5,11.8,65,1017.61,1.06093,71,-1,Location 2,Free Practice 1
1618035466,10/04/21 6:17,10.5556,11.9,65,1017.58,0,71,-1,Location 2,Free Practice 1
1618035526,10/04/21 6:18,10.5556,11.9,65,1017.71,1.06093,71,-1,Location 2,Free Practice 1
1618035591,10/04/21 6:19,10.5556,12,65,1017.71,0,71,-1,Location 2,Free Practice 1
1618035656,10/04/21 6:20,10.5556,12,65,1017.75,0,71,-1,Location 2,Free Practice 1
1618035721,10/04/21 6:22,10.6111,12.1,65,1017.71,0,71,-1,Location 2,Free Practice 1
1618035781,10/04/21 6:23,10.6111,12.1,65,1017.71,0,71,-1,Location 2,Free Practice 1
1618035847,10/04/21 6:24,10.6667,12.2,65,1017.64,0,71,-1,Location 2,Free Practice 1
1618035912,10/04/21 6:25,10.6667,12.2,65,1017.61,0,71,-1,Location 2,Free Practice 1
1618035976,10/04/21 6:26,10.7222,12.3,65,1017.64,0,71,-1,Location 2,Free Practice 1
1618036037,10/04/21 6:27,10.7222,12.3,65,1017.54,0,71,-1,Location 2,Free Practice 1
1618036102,10/04/21 6:28,10.7778,12.3,65,1017.64,0,71,-1,Location 2,Free Practice 1
1618036167,10/04/21 6:29,10.7778,12.4,65,1017.71,0,71,-1,Location 2,Free Practice 1
1618036232,10/04/21 6:30,10.8333,12.4,65,1017.68,0,71,-1,Location 2,Free Practice 1
1618036292,10/04/21 6:31,10.8333,12.5,65,1017.58,0,71,-1,Location 2,Free Practice 1
1618036357,10/04/21 6:32,10.8889,12.5,65,1017.58,0,71,-1,Location 2,Free Practice 1
1618036422,10/04/21 6:33,10.8889,12.6,65,1017.68,0,71,-1,Location 2,Free Practice 1
1618036488,10/04/21 6:34,10.9444,12.6,65,1017.64,0,71,-1,Location 2,Free Practice 1
1618036552,10/04/21 6:35,10.9444,12.6,65,1017.51,0,71,-1,Location 2,Free Practice 1
1618036613,10/04/21 6:36,10.9444,12.6,65,1017.54,0,71,-1,Location 2,Free Practice 1
1618036678,10/04/21 6:37,11,12.6,65,1017.58,0,71,-1,Location 2,Free Practice 1
1618036743,10/04/21 6:39,11,12.7,65,1017.64,0,71,-1,Location 2,Free Practice 1
1618036808,10/04/21 6:40,11.0556,12.7,65,1017.54,0,71,-1,Location 2,Free Practice 1
